,prod_id,is_ebook,prod_name,prod_base_price,disc_rate,disc_price,sale_price,total_sales,table_of_content,smry,pblcr,pblcr_review,image_id,isbn,pblsh_date,total_pages,total_books,trlr,ord_ab_stus_code,dawn_deli_chk,star_avg,cate_code,reg_date,reg_id,up_date,up_id,author_info_id,ord_chk_code,code_type
0,prod1,Y,세이노의 가르침(100만 부 기념 리커버 에디션),7200,10,720,6480,64391,세이노의 가르침(100만 부 기념 리커버 에디션) 목차입니다.,"2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 《세이노의 가르침》이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의 마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다. *필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다.",데이원,세이노의 가르침(100만 부 기념 리커버 에디션) 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791168473690.jpg,9791168473690,2023-03-02,354,1,박번역,,N,,020204,now(),admin,now(),admin,AUTH12,AVBL,202
1,prod2,Y,원씽(The One Thing)(60만 부 기념 스페셜 에디션),16800,10,1680,15120,84017,원씽(The One Thing)(60만 부 기념 스페셜 에디션) 목차입니다.,"2022, 2023년 연이어 종합 베스트셀러에 선정된《원씽》이 국내 60만 부 판매를 기념하여 스페셜 에디션으로 탄생했다! 수많은 언론과 매체, 인플루언서들이 연이어 《원씽》을 다시 찾아 읽고 강력하게 추천하는 이유는 무엇일까? 오늘 날, 많은 사람이 멀티 태스킹의 환상을 가지며 동시에 여러가지 일을 잘 해내고 싶어한다. 하지만 실제 부와 성공을 거머쥔 이들의 이야기를 들어보면 다르다. 인플루언서 자청, 신사임당은 한 방송에서 100억을 벌게 만든 책으로 《원씽》을 꼽으며, 진짜 원하는 것을 이룰 수 있는 ‘단 하나’가 무엇인지 고민하자 성공의 길이 열리기 시작했다고 밝혔다. 모든 것을 동시다발적으로 해내길 바라는 사회에서 《원씽》이 주는 특별한 교훈은 우리가 지치거나 포기하지 않고 목표를 향해 앞으로 나아가는 힘이 되어준다. 성공은 도미노처럼 작동한다. 성공한 사람들은 ‘성공에 필요한 일’이 무엇인지 알아내고 그 ‘단 하나의 일’을 순서에 맞게 진행한다. 첫 번째 일을 제대로 해내면, 도미노가 쓰러지듯 더 큰 성공의 길이 이어진다. 이렇게 차근차근 ‘단 하나의 일’을 해내다보면 어느새 더 크고 위대한 성공을 이루게 된다. 스스로 자기 인생의 ‘단 하나’, 즉 이 책이 말하는 ‘원씽’을 찾아낼 수만 있다면 누구나 부와 성공을 거머쥘 수 있다. 이 책은 누구나 자신만의 ‘원씽’을 찾을 수 있도록 도와주며 미래의 청사진을 그리고 계획을 세우는 방법과 반드시 목표를 이룰 수 있는 노하우를 전해준다. 특히 이번 리커버는 하드 커버로, 《원씽》의 메시지를 간직하고자하는 독자들에게 그 무엇보다 특별한 선물이 될 것이다. 인생에서 가장 중요한 '단 하나'를 찾는 여정을 시작하자. 준비는 이 책 한 권과 심호흡 한 번이면 충분하다. -최지은(교보문고 자기계발 MD)",비즈니스북스,원씽(The One Thing)(60만 부 기념 스페셜 에디션) 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9788997575169.jpg,9788997575169,2013-08-30,580,3,박번역,,Y,,010301,now(),admin,now(),admin,AUTH29,AVBL,202
2,prod3,Y,역행자(확장판),19500,10,1950,17550,75475,역행자(확장판) 목차입니다.,"95퍼센트의 인간은 타고난 유전자와 본성의 꼭두각시로 살아간다. 이들은 평생 돈, 시간, 운명에게 속박되어, 평범함을 벗어나지 못하고 불행하게 사는 ‘순리자’다. 그러나 5퍼센트의 인간은 다르다. 이들은 타고난 유전자의 본성을 역행해 돈, 시간, 운명으로부터 완전한 자유를 얻는다. 본성을 거슬러 행복을 쟁취하는 이들이 바로 ‘역행자’다. 운명과 본능의 지배에서 벗어나 경제적 자유와 행복을 쟁취하는 라이프해킹의 비밀을 담은 책, 『역행자』가 2022년 출간된 지 1년 만에 확장판으로 다시 돌아왔다. ‘무자본 연쇄창업마’로서 30대 초반에 자동화 수익을 완성한 자청, 그가 10년 동안 시행착오를 겪으며 찾아낸 ‘역행자 7단계’ 모델을 담은 『역행자』는 2022년 출간 즉시 ‘전 서점 종합 베스트셀러 1위 달성’, ‘1년 만에 40만 부 판매’라는 대기록을 세우며 대한민국에 ‘역행자 신드롬’을 불러일으켰다. 『역행자』 확장판은 더욱 묵직해진 팩트 폭격과 뼈 때리는 사례들, 저자의 비밀 노하우인 ‘무자본 창업 7단계 공식’ 등을 수록하며 초판에 비해 무려 100페이지 가량의 분량이 추가되었다. 저자의 생생한 육성을 그대로 담았을 뿐만 아니라 『역행자』를 만나 완전히 다른 인생을 살고 있는 독자들의 생생한 경험담을 수록하여 독자들로 하여금 역행자가 되지 않고는 버틸 수 없게 만든다. 한층 더 강력해진 『역행자』 확장판만 있다면, 당신도 저자와 함께 ‘돈, 시간, 운명’으로부터 완전한 자유를 얻게 될 것이다. * 이 책은 2022년 출간된 『역행자』의 개정증보판입니다.",웅진지식하우스,역행자(확장판) 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9788901272580.jpg,9788901272580,2023-05-29,488,2,한번역,,N,,020101,now(),admin,now(),admin,AUTH11,AVBL,202
3,prod4,N,도시와 그 불확실한 벽,19500,10,1950,17550,96704,도시와 그 불확실한 벽 목차입니다.,"무라카미 하루키의 신작 장편소설 『도시와 그 불확실한 벽』은 집필과 출간에 얽힌 이야기가 특별하다. 1979년 데뷔 이래, 하루키는 각종 문예지에 소설을 비롯한 다양한 글을 발표했고, 대부분 그 글들을 책으로 엮어 공식 출간했다. 그중 유일하게 단행본으로 출간되지 않아 팬들 사이에서도 오랜 미스터리로 남은 작품이 문예지 〈문학계〉에 발표했던 중편소설 「도시와, 그 불확실한 벽」(1980)이었다. 코로나19로 사람들 사이에 벽이 세워지기 시작한 2020년, 그는 사십 년간 묻어두었던 작품을 새로 다듬어 완성할 수 있겠다고 생각했다. 그리고 삼 년간의 집필 끝에 총 3부 구성의 장편소설 『도시와 그 불확실한 벽』을 세상에 내놓았다. 매 작품을 발표할 때마다 ‘하루키 신드롬’을 일으키며 전 세계 독자들의 사랑을 받고 있는 70대의 작가가 청년 시절에 그렸던 세계를 43년 만에 마침내 완성한 것이다. “내가 쓴 소설 가운데 책이 되어 나오지 않은 것은 거의 없을 텐데, 이 작품만은 일본에서도 다른 어느 나라에서도 아직 한 번도 출판되지 않았다. (…) 그사이 나는 서른한 살에서 일흔한 살이 되었다. (…) 어쨌거나 이 작품을 이렇게 다시 한번, 새로운 형태로 다듬어 쓸 수 있어서(혹은 완성할 수 있어서) 솔직히 마음이 무척 편안해졌다. 나에게 이 작품은 줄곧 목에 걸린 생선 가시처럼 신경쓰이는 존재였으므로. (…) 그것은 역시 나에게(나라는 작가에게, 나라는 인간에게) 중요한 의미를 지니는 가시였다. 사십 년 만에 새로 쓰면서 다시 한번 ‘그 도시’에 돌아가보고, 그 사실을 새삼 통감했다.” _무라카미 하루키, 『도시와 그 불확실한 벽』 작가 후기에서",문학동네,도시와 그 불확실한 벽 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9788954699075.jpg,9788954699075,2023-09-06,167,1,나번역,,Y,,020101,now(),admin,now(),admin,AUTH34,AVBL,202
4,prod5,N,불편한 편의점(벚꽃 에디션),14000,10,1400,12600,83692,불편한 편의점(벚꽃 에디션) 목차입니다.,"2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다. 서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 주워준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다. 현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다.",나무옆의자,불편한 편의점(벚꽃 에디션) 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791161571188.jpg,9791161571188,2021-04-20,335,3,안번역,,Y,,020304,now(),admin,now(),admin,AUTH12,AVBL,202
5,prod6,Y,도둑맞은 집중력(아이스 에디션),18800,10,1880,16920,53097,도둑맞은 집중력(아이스 에디션) 목차입니다.,,어크로스,도둑맞은 집중력(아이스 에디션) 책은 정말 훌륭합니다.,,9791167740984,2023-04-28,481,1,나번역,,N,,020305,now(),admin,now(),admin,AUTH48,OSKT,202
6,prod7,Y,김미경의 마흔 수업,18000,10,1800,16200,85547,김미경의 마흔 수업 목차입니다.,"전 국민이 힘겨워하는 불황에 여느 세대보다 더 많이 흔들리는 이들이 있다. 가족을 짊어지고 커리어의 정점을 향해가고 있는 40대들이다. 마흔이 되면 괜찮아질 줄 았았는데, 삶이 좀 더 안정될 거라 믿었는데 실상은 그렇지가 않다. 대기업과 금융권에서 올해 만 40세가 된 1982년생을 희망퇴직 대상자에 포함시킨다는 소식이 들려오면서 40대의 불안은 더욱 커지고 있다. 지금의 40대는 10~20대 시절 IMF 외환위기로 부모가 실직하는 모습을 지켜보고 대학에 진학해 ‘취업용 스펙’을 처음 쌓기 시작한 세대다. ‘안정’을 추구하는 공무원 열풍과 ‘오늘만 산다’는 욜로(YOLO) 열풍 사이에서 ‘나다운 삶’은 뭔지 고민하기 시작한 첫 세대, 젊은 시절부터 100세까지의 삶을 준비하는 첫 세대도 지금의 마흔이다. 이처럼 마흔이 살아가는 세상은 매일 엄청난 속도로 변하고 있지만, ‘40’이라는 나이에 대한 우리의 인식은 여전히 30년 전에 머물러 있다. 불혹, 중년. 퇴사, 창업 등 우리가 떠올리는 40대의 이미지는 이들의 부모 세대인 60~70대가 40대였던 시절에 만들어진 마흔의 이미지에서 거의 벗어나지 못하고 있다. ≪김미경의 마흔 수업≫은 대한민국 자기계발 멘토이자 160만 구독자를 보유한 MKTV 크리에이터이며, 온라인 지식 커뮤니티 MKYU 대표인 김미경이 ≪김미경의 리부트≫ 이후 3년 만에 출간하는 단독 저서다. 30대 여성들에게 독한 코칭과 인생 솔루션을 제안하며 김미경에게 국민 멘토, 국민 강사, 국민 언니라는 타이틀을 안겨주었던 ≪언니의 독설≫을 펴낸 지 12년 만이다. 당시 서른의 불안과 두려움을 다독이며 30대의 10년을 열심히 살아온, 하지만 여전히 사는 게 어렵고 미래를 불안해하는 40대를 위해 김미경이 다시 한번 나선 것. 이 책은 뭔가를 시작하기엔 이미 늦었다고 생각하는 사람들, 마흔이 되도록 이룬 게 없다고 생각하는 사람들, 40대를 어떻게 보내야 할지 모르는 사람들을 위한 일종의 성장 매뉴얼이다. 마흔에 대한 막연한 불안감을 해소하고, 지금 필요한 마음가짐을 익히고, 여러 역할 속에서 인생의 균형을 찾으며 50대 이후의 인생 후반전을 재미있고 의미 있게 살아갈 수 있도록 ‘인생 힌트’를 주는 김미경의 응원과 솔루션이 가득하다. 열심히 살아왔고 앞으로도 최선을 다해 살아갈, 자기 인생을 누구보다 사랑하는 모든 마흔에게 도움이 될 책이다.",어웨이크북스,김미경의 마흔 수업 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791198013026.jpg,9791198013026,2023-02-15,820,1,오번역,,Y,,020301,now(),admin,now(),admin,AUTH11,OSKT,202
7,prod8,N,문과 남자의 과학 공부,17500,10,1750,15750,18947,문과 남자의 과학 공부 목차입니다.,"『문과 남자의 과학 공부』는 역사ㆍ정치ㆍ경제ㆍ글쓰기ㆍ여행 등 인문학 분야의 글을 써온 작가 유시민이 과학을 소재로 쓴 첫 책이다. 유시민에게 “지적 자극과 정서적 감동을 준 과학이론, 인간과 사회와 역사에 대한 생각을 교정해준 정보를 골라 새롭게 해석”했다. 과학과 인문학이 교차ㆍ통섭하는 이야기가 흥미진진하다. 저자는 과학 책을 읽으며 인문학 공부로 배우지 못한 지식과 정보를 얻고, 과학의 토대 위에서 다양하게 사유할 수 있었다. 그리하여 온전한 공부를 하기 위해 인문학과 함께 과학 공부를 해야 한다고, 회한의 감정을 실어 말한다. “다시 스무 살로 돌아간다면 인문학과 함께 과학도 공부하고 싶다.” 그리고 현재 인문학이 맞닥뜨린 위기와 한계를 뚫고 나아가려면 과학의 성취를 받아들여야 한다고 조언한다. 인문학은 과학으로 정확해지고, 과학은 인문학으로 깊어진다.",돌베개,문과 남자의 과학 공부 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791192836188.jpg,9791192836188,2023-06-23,884,1,한번역,,N,,020202,now(),admin,now(),admin,AUTH25,OSKT,202
8,prod9,N,구의 증명,12000,10,1200,10800,84016,구의 증명 목차입니다.,사랑 후 남겨진 것들에 관한 숭고할 만큼 아름다운 이야기 최진영 소설 《구의 증명》은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.,은행나무,구의 증명 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791167372864.jpg,9791167372864,2023-04-26,758,2,윤번역,,Y,,020102,now(),admin,now(),admin,AUTH31,OSKT,202
9,prod10,N,사장학개론,25000,10,2500,22500,23469,사장학개론 목차입니다.,"이 책은 한국과 미국, 전 세계를 오가며 ‘사장을 가르치는 사장’으로 알려진 『돈의 속성』의 저자 김승호 회장의 신간이다. 평생 사장으로 살아온 그의 경영철학 모두를 10여 년에 걸쳐 정리해 온 그는, 이번 『사장학개론』 책을 통해 120가지 주제로 그 내용을 모두 담아 완성했다. 지난 7년간 3천 명의 사장 제자들을 만나 〈사장학 수업〉을 진행하며 현실에서 겪는 다양한 문제에 대해, 사장들이 묻는 공통적인 어려움이 존재했으며 그 문제들을 목차로 구성해 방향제시를 더했다. 한국KCA사장학교에 합격하고 저자를 기다리고 있는 사장들을 만나기 위해 미국에 거주하는 기업인인 저자는 일 년에 두 번, 한국을 방문해왔다. 하지만 한정된 기회와 한정된 인원으로 제한되는 상황이 지속돼 〈사장학 수업〉 내용 전체를 담아 『사장학개론』 책으로 출판을 결정하게 되었다. 책은 6가지 각각의 경우의 대상자들이 더 집중해 볼 수 있는 장으로 구성됐다. 1장에서는 가장 현실적으로 시급하게 배워야 할 것들에 대한 주제들이다. 자신이 지금 장사를 하고 있는지, 사업을 하고 있는지에 대한 기준과 사람을 써서 매출을 올릴 것인지, 매출을 올려서 사람을 쓸 것인지. 함께 창업한 개국공신들의 반란과, 사업이 망해가는 징조 등 ‘지금 어떻게 하면 좋을지’ 묻고 싶었던 폭넓고 다양한 질문에 대한 저자의 경영철학을 담았다. 2장은 오래, 더 멀리, 지속적으로 갈 수 있는 내면이 힘을 키우는데 필요한 주제들이다. 훌륭한 경쟁자를 왜 축복으로 여겨야 하는지, 규모에 따라 변해야 하는 사장의 태도, 비난에 단단해지고 정리와 정돈, 청소와 청결로 이어진 기본에 따라 깊은 심지를 가진 사장으로 거듭날 수 있는 조언에 집중했다. 3장은 거의 모든 사장, 중간급 간부 이상이라면 모두가 어려운, 직원 운영 전반의 해결 제시가 담겼다. 사업하면서 가장 힘들고 지속되는 어려움인 직원 관리에 대한 조언으로만 구성돼 있으며 누구를 승진시켜야 하는지, 좋은 직원은 어떻게 구할 수 있는지, 가장 경계해야 할 직원과 지금 즉시 해고해야 할 직원을 가려내는 방법, 더불어 회사의 언어로 보고가 이뤄지고 소통될 수 있도록 가르치는 업무보고 방식 등, 지금 현장에서 곧바로 필요했던 문제의 해결 방법을 찾을 수 있다. 4장과 5장은 사장에서 기업인으로 거듭나기 위한 단계에 있는 사장을 위한 장이며 마지막 6장에서는 사장을 준비하고 있거나, 사장이 되려는 꿈을 가진 모두를 위한 내용에 집중되었다. 『사장학개론』 도서는 국내 25%, 9백만 명에 이르는 사장 모두가 회사의 규모에 따라, 상황에 따라 각각 펼쳐 읽어 볼 수 있도록 집필하는 동시에, 평생을 사장으로 살아 온 경험 많은 선배 경영인의 조언을 직접 듣고 싶어 했던 모든 사장들을 위한 책이다.",스노우폭스북스,사장학개론 책은 정말 훌륭합니다.,https://contents.kyobobook.co.kr/sih/fit-in/280x0/pdt/9791188331888.jpg,9791188331888,2023-04-19,538,1,박번역,,N,,010301,now(),admin,now(),admin,AUTH25,AVBL,202
